Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Casa de Vila;Marechal Hermes;1;0;0;88;750.0;76.0;
Casa;Realengo;1;1;0;40;600.0;;
Quitinete;Gardênia Azul;1;0;0;25;500.0;;
Apartamento;Glória;1;0;0;20;900.0;495.0;
Quitinete;Copacabana;1;0;0;22;1000.0;510.0;29.0
Casa;Campo Grande;1;0;0;40;450.0;;
Apartamento;Recreio dos Bandeirantes;1;0;0;24;1000.0;364.0;
Quitinete;Copacabana;1;0;0;22;950.0;430.0;67.0
Apartamento;Quintino Bocaiúva;1;0;0;35;750.0;;
Apartamento;Tomás Coelho;1;0;0;65;800.0;;
Quitinete;Tijuca;1;0;0;25;900.0;385.0;200.0
Quitinete;Leme;1;0;0;25;1000.0;550.0;25.0
Quitinete;Copacabana;1;0;0;29;1000.0;550.0;
Apartamento;Cachambi;1;0;1;39;850.0;320.0;
Apartamento;Copacabana;1;0;0;33;1100.0;523.0;56.0
Apartamento;Sampaio;1;0;0;51;800.0;205.0;
Casa;Vaz Lobo;1;1;0;80;800.0;;75.0
Casa;Jardim América;1;0;0;41;800.0;;
Quitinete;Copacabana;1;0;0;30;850.0;550.0;54.0
Apartamento;Encantado;1;0;0;40;500.0;;12.0
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1100.0;590.0;36.0
Quitinete;Lapa;1;0;0;19;1100.0;256.0;
Casa de Vila;Pilares;1;0;0;22;450.0;131.0;17.0
Casa de Vila;Bento Ribeiro;1;0;0;30;480.0;;
Apartamento;Marechal Hermes;1;0;0;50;800.0;280.0;
Apartamento;Vila da Penha;1;0;0;45;1100.0;250.0;
Apartamento;Bonsucesso;1;0;0;38;850.0;170.0;
Apartamento;Cachambi;1;1;0;48;750.0;250.0;
Apartamento;Rocha Miranda;1;0;0;35;550.0;;
Casa;Piedade;1;0;0;39;600.0;;16.0
Apartamento;Maracanã;1;0;0;54;1000.0;450.0;20.0
Casa de Condomínio;Vargem Grande;1;1;0;35;800.0;250.0;
Apartamento;Sampaio;1;0;0;51;800.0;205.0;
Quitinete;Botafogo;1;0;0;24;1100.0;520.0;
Flat;Copacabana;1;1;0;60;890.0;1800.0;150.0
Apartamento;Lins de Vasconcelos;1;1;0;60;800.0;460.0;250.0
Apartamento;Gardênia Azul;1;0;0;35;650.0;;
Apartamento;Centro;1;0;1;40;950.0;350.0;24.0
Casa de Vila;Oswaldo Cruz;1;0;0;50;620.0;;
Loft;Flamengo;1;0;0;19;800.0;346.0;29.0
Quitinete;Centro;1;0;0;28;950.0;350.0;
